CAT;IMP_0097_3;29/05/2014;01/01/2010;BEC;Swift Fileact;10000000050;Integrado;Finalizado;KO;00000124.TIN;Órdenes pago internacionales en fichero;Ángel;00000124.TIN (cuenta no válida)
EADS;IMP_0003_550;17/02/2014;01/01/2010;CIB;Swift Fileact;10000000092;Integrado;Finalizado;OK;20000091.FIT;Transferencias 34.14;Cristina;20000091.FIT
EADS;IMP_0003_550;17/02/2014;01/01/2010;CIB;Swift Fileact;10000000092;Integrado;Finalizado;OK;20000092.FIT;Transferencias 34.14;Cristina;20000092.FIT
EADS;IMP_0003_550;18/02/2014;01/01/2010;CIB;Swift Fileact;10000000092;Integrado;Cancelado;;;Transferencias 34.14;Cristina;
EADS;IMP_0003_550;22/10/2014;01/01/2010;CIB;Swift Fileact;10000000042;Producción;Finalizado;OK;20000052.FIT;Transferencias 34.14;Cristina;20000052.FIT Prueba con etiqueta Batch Booking = FALSE (se han realizado los cargos por separado en la cuenta del cliente)
EADS;IMP_0003_550;23/10/2014;01/01/2010;CIB;Swift Fileact;10000000042;Producción;Finalizado;OK;20000054.FIT;Transferencias 34.14;Cristina;20000054.FIT Prueba con etiqueta Batch Booking = FALSE (se han realizado los cargos por separado en la cuenta del cliente)
EADS;IMP_0003_550;25/07/2014;01/01/2010;CIB;Swift Fileact;10000000042;Producción;Finalizado;OK;20000046.FIT;Transferencias 34.14;Cristina;20000046.FIT
EADS;IMP_0003_550;25/07/2014;01/01/2010;CIB;Swift Fileact;10000000042;Producción;Finalizado;OK;20000047.FIT;Transferencias 34.14;Cristina;20000047.FIT (fecha ejecución: 29/07/2014) Cragado en cuenta con fecha valor y operación 29/07.
EADS;IMP_0003_550;27/02/2014;01/01/2010;CIB;Swift Fileact;10000000092;Integrado;Finalizado;OK;20000117.FIT;Transferencias 34.14;Cristina;20000117.FIT
EADS;IMP_0003_550;27/11/2014;01/01/2010;CIB;Swift Fileact;10000000092;Integrado;Finalizado;OK;20000163.FIT;Transferencias 34.14;Cristina;20000163.FIT
EADS;IMP_0003_550;27/11/2014;01/01/2010;CIB;Swift Fileact;10000000092;Integrado;Finalizado;OK;20000164.FIT;Transferencias 34.14;Cristina;20000164.FIT
EADS;IMP_0003_550;06/03/2014;01/01/2010;CIB;Swift Fileact;10000000092;Integrado;Finalizado;OK;20000128.FIT;Transferencias 34.14;Ángel;20000128.FIT
EADS;IMP_0003_550;06/03/2014;01/01/2010;CIB;Swift Fileact;10000000092;Integrado;Finalizado;OK;20000129.FIT;Transferencias 34.14;Ángel;20000129.FIT
EADS;IMP_0003_550;06/03/2014;01/01/2010;CIB;Swift Fileact;10000000092;Integrado;Finalizado;OK;20000130.FIT;Transferencias 34.14;Ángel;20000130.FIT
EADS;IMP_0003_551;17/01/2014;01/01/2010;CIB;Swift Fileact;10000000092;Integrado;Finalizado;KO;20000085.TIN;Órdenes pago internacionales en fichero;Cristina;20000085.TIN (la cuenta no existe en integrado)
EADS;IMP_0003_551;17/01/2014;01/01/2010;CIB;Swift Fileact;10000000092;Integrado;Finalizado;OK;20000088.TIN;Órdenes pago internacionales en fichero;Cristina;20000088.TIN
EADS;IMP_0003_551;25/07/2014;01/01/2010;CIB;Swift Fileact;10000000042;Producción;Finalizado;;20000048.TIN;Órdenes pago internacionales en fichero;Cristina;20000048.TIN
EADS;IMP_0003_551;27/02/2014;01/01/2010;CIB;Swift Fileact;10000000092;Integrado;Finalizado;OK;20000118.TIN;Órdenes pago internacionales en fichero;Cristina;20000118.TIN
EADS;IMP_0003_551;27/11/2014;01/01/2010;CIB;Swift Fileact;10000000092;Integrado;Finalizado;KO;20000165.TIN;Órdenes pago internacionales en fichero;Cristina;20000165.TIN (cuenta incorrecta)
EADS;IMP_0003_551;04/03/2014;01/01/2010;CIB;Swift Fileact;10000000092;Integrado;Finalizado;KO;20000122.TIN;Órdenes pago internacionales en fichero;Ángel;20000122.TIN (Error con la cuenta)
EADS;IMP_0003_551;04/03/2014;01/01/2010;CIB;Swift Fileact;10000000092;Integrado;Finalizado;KO;20000123.TIN;Órdenes pago internacionales en fichero;Ángel;20000123.TIN (Error con la cuenta)
EADS;IMP_0003_551;04/03/2014;01/01/2010;CIB;Swift Fileact;10000000092;Integrado;Finalizado;KO;20000124.TIN;Órdenes pago internacionales en fichero;Ángel;20000124.TIN (Error con la cuenta)
EADS;IMP_0003_551;06/03/2014;01/01/2010;CIB;Swift Fileact;10000000092;Integrado;Cancelado;;;Órdenes pago internacionales en fichero;Ángel;
EARTHPORT;IMP_0015_116;01/08/2014;01/01/2010;BEC;H2H;10000000060;Integrado;Finalizado;KO;;Transferencias 34.14;Andrés;Fichero entró el 30/07, rechazado en PRISMA porque el tipo de ficehro no se encuentra en la tabla de validaciones. El probelma está en la cuenta ordenante, no es una cuenta BBVA España, se quedó pendiente por servicio no contratado, pero lo autorizaron y posteriormente lo rechazó la aplicación producto.
EARTHPORT;IMP_0015_116;01/08/2014;01/01/2010;BEC;H2H;10000000060;Integrado;Finalizado;KO;;Transferencias 34.14;Andrés;Fichero entró el 30/07, rechazado en PRISMA porque el tipo de ficehro no se encuentra en la tabla de validaciones. El probelma está en la cuenta ordenante, no es una cuenta BBVA España, se quedó pendiente por servicio no contratado, pero lo autorizaron y posteriormente lo rechazó la aplicación producto.
EARTHPORT;IMP_0015_116;01/08/2014;01/01/2010;BEC;H2H;10000000060;Integrado;Finalizado;KO;;Transferencias 34.14;Andrés;Fichero entró el 30/07, rechazado en PRISMA porque el tipo de ficehro no se encuentra en la tabla de validaciones. El probelma está en la cuenta ordenante, no es una cuenta BBVA España, se quedó pendiente por servicio no contratado, pero lo autorizaron y posteriormente lo rechazó la aplicación producto.
EARTHPORT;IMP_0015_116;01/08/2014;01/01/2010;BEC;H2H;10000000060;Integrado;Finalizado;KO;;Transferencias 34.14;Andrés;Fichero entró el 30/07, rechazado en PRISMA porque el tipo de ficehro no se encuentra en la tabla de validaciones. El probelma está en la cuenta ordenante, no es una cuenta BBVA España, se quedó pendiente por servicio no contratado, pero lo autorizaron y posteriormente lo rechazó la aplicación producto.
EARTHPORT;IMP_0015_116;01/08/2014;01/01/2010;BEC;H2H;10000000060;Integrado;Finalizado;KO;;Transferencias 34.14;Andrés;Fichero entró el 30/07, rechazado en PRISMA porque el tipo de ficehro no se encuentra en la tabla de validaciones. El probelma está en la cuenta ordenante, no es una cuenta BBVA España, se quedó pendiente por servicio no contratado, pero lo autorizaron y posteriormente lo rechazó la aplicación producto.
EARTHPORT;IMP_0015_116;01/08/2014;01/01/2010;BEC;H2H;10000000060;Integrado;Finalizado;KO;;Transferencias 34.14;Andrés;Fichero entró el 30/07, rechazado en PRISMA porque el tipo de ficehro no se encuentra en la tabla de validaciones. El probelma está en la cuenta ordenante, no es una cuenta BBVA España, se quedó pendiente por servicio no contratado, pero lo autorizaron y posteriormente lo rechazó la aplicación producto.
EARTHPORT;IMP_0015_116;01/08/2014;01/01/2010;BEC;H2H;10000000060;Integrado;Finalizado;KO;;Transferencias 34.14;Andrés;Fichero entró el 30/07, rechazado en PRISMA porque el tipo de ficehro no se encuentra en la tabla de validaciones. El probelma está en la cuenta ordenante, no es una cuenta BBVA España, se quedó pendiente por servicio no contratado, pero lo autorizaron y posteriormente lo rechazó la aplicación producto.
EARTHPORT;IMP_0015_116;01/08/2014;01/01/2010;BEC;H2H;10000000060;Integrado;Finalizado;KO;;Transferencias 34.14;Andrés;Fichero entró el 30/07, rechazado en PRISMA porque el tipo de ficehro no se encuentra en la tabla de validaciones. El probelma está en la cuenta ordenante, no es una cuenta BBVA España, se quedó pendiente por servicio no contratado, pero lo autorizaron y posteriormente lo rechazó la aplicación producto.
EARTHPORT;IMP_0015_116;01/08/2014;01/01/2010;BEC;H2H;10000000060;Integrado;Finalizado;KO;;Transferencias 34.14;Andrés;Fichero entró el 30/07, rechazado en PRISMA porque el tipo de ficehro no se encuentra en la tabla de validaciones. El probelma está en la cuenta ordenante, no es una cuenta BBVA España, se quedó pendiente por servicio no contratado, pero lo autorizaron y posteriormente lo rechazó la aplicación producto.
EARTHPORT;IMP_0015_116;01/08/2014;01/01/2010;BEC;H2H;10000000060;Integrado;Finalizado;KO;;Transferencias 34.14;Andrés;Fichero entró el 30/07, rechazado en PRISMA porque el tipo de ficehro no se encuentra en la tabla de validaciones. El probelma está en la cuenta ordenante, no es una cuenta BBVA España, se quedó pendiente por servicio no contratado, pero lo autorizaron y posteriormente lo rechazó la aplicación producto.
EARTHPORT;IMP_0015_116;01/08/2014;01/01/2010;BEC;H2H;10000000060;Integrado;Finalizado;KO;;Transferencias 34.14;Andrés;Fichero entró el 30/07, rechazado en PRISMA porque el tipo de ficehro no se encuentra en la tabla de validaciones. El probelma está en la cuenta ordenante, no es una cuenta BBVA España, se quedó pendiente por servicio no contratado, pero lo autorizaron y posteriormente lo rechazó la aplicación producto.
EARTHPORT;IMP_0015_116;01/08/2014;01/01/2010;BEC;H2H;10000000060;Integrado;Finalizado;KO;;Transferencias 34.14;Andrés;Fichero entró el 30/07, rechazado en PRISMA porque el tipo de ficehro no se encuentra en la tabla de validaciones. El probelma está en la cuenta ordenante, no es una cuenta BBVA España, se quedó pendiente por servicio no contratado, pero lo autorizaron y posteriormente lo rechazó la aplicación producto.
EARTHPORT;IMP_0015_116;01/08/2014;01/01/2010;BEC;H2H;10000000060;Integrado;Finalizado;KO;;Transferencias 34.14;Andrés;Fichero entró el 30/07, rechazado en PRISMA porque el tipo de ficehro no se encuentra en la tabla de validaciones. El probelma está en la cuenta ordenante, no es una cuenta BBVA España, se quedó pendiente por servicio no contratado, pero lo autorizaron y posteriormente lo rechazó la aplicación producto.
EARTHPORT;IMP_0015_116;01/08/2014;01/01/2010;BEC;H2H;10000000060;Integrado;Finalizado;KO;;Transferencias 34.14;Andrés;Fichero entró el 30/07, rechazado en PRISMA porque el tipo de ficehro no se encuentra en la tabla de validaciones. El probelma está en la cuenta ordenante, no es una cuenta BBVA España, se quedó pendiente por servicio no contratado, pero lo autorizaron y posteriormente lo rechazó la aplicación producto.
EARTHPORT;IMP_0015_116;18/08/2014;01/01/2010;BEC;H2H;10000000143;Producción;Finalizado;OK;00000002.FIT;Transferencias 34.14;Ana;00000002.FIT
EARTHPORT;IMP_0015_116;18/08/2014;01/01/2010;BEC;H2H;10000000143;Producción;Finalizado;OK;00000003.FIT;Transferencias 34.14;Ana;00000003.FIT
EARTHPORT;IMP_0015_116;18/08/2014;01/01/2010;BEC;H2H;10000000143;Producción;Finalizado;OK;00000004.FIT;Transferencias 34.14;Ana;00000004.FIT
EARTHPORT;IMP_0015_116;18/08/2014;01/01/2010;BEC;H2H;10000000143;Producción;Finalizado;OK;00000005.FIT;Transferencias 34.14;Ana;00000005.FIT
EARTHPORT;IMP_0015_116;18/08/2014;01/01/2010;BEC;H2H;10000000143;Producción;Finalizado;OK;00000006.FIT;Transferencias 34.14;Ana;00000006.FIT
EARTHPORT;IMP_0015_116;18/08/2014;01/01/2010;BEC;H2H;10000000143;Producción;Finalizado;OK;00000007.FIT;Transferencias 34.14;Ana;00000007.FIT
EARTHPORT;IMP_0015_116;02/06/2014;01/01/2010;BEC;H2H;10000000060;Integrado;Finalizado;OK;00000033.FIT;Transferencias 34.14;Ana;00000033.FIT
EARTHPORT;IMP_0015_116;02/06/2014;01/01/2010;BEC;H2H;10000000060;Integrado;Finalizado;OK;00000043.FIT;Transferencias 34.14;Ana;00000043.FIT
EARTHPORT;IMP_0015_116;02/06/2014;01/01/2010;BEC;H2H;10000000060;Integrado;Finalizado;OK;00000045.FIT;Transferencias 34.14;Ana;00000045.FIT
EARTHPORT;IMP_0015_116;02/06/2014;01/01/2010;BEC;H2H;10000000060;Integrado;Finalizado;KO;00000046.FIT;Transferencias 34.14;Ana;00000046.FIT (formato IBAN beneficiario incorrecto)
EARTHPORT;IMP_0015_116;02/06/2014;01/01/2010;BEC;H2H;10000000060;Integrado;Finalizado;KO;00000047.FIT;Transferencias 34.14;Ana;00000047.FIT (cuenta de Francia incorrecta)
EARTHPORT;IMP_0015_116;02/06/2014;01/01/2010;BEC;H2H;10000000060;Integrado;Finalizado;OK;00000048.FIT;Transferencias 34.14;Ana;00000048.FIT
EARTHPORT;IMP_0015_116;02/06/2014;01/01/2010;BEC;H2H;10000000060;Integrado;Finalizado;KO;00000050.FIT;Transferencias 34.14;Ana;00000050.FIT (cuenta de Francia incorrecta)
EARTHPORT;IMP_0015_116;02/06/2014;01/01/2010;BEC;H2H;10000000060;Integrado;Finalizado;KO;00000051.FIT;Transferencias 34.14;Ana;00000051.FIT (falta nombre beneficiario)
EARTHPORT;IMP_0015_116;20/06/2014;01/01/2010;BEC;H2H;10000000060;Integrado;Finalizado;OK;00000058.FIT;Transferencias 34.14;Ana;No son visibles en 3270 (si en HD). 00000058.FIT
EARTHPORT;IMP_0015_116;20/06/2014;01/01/2010;BEC;H2H;10000000060;Integrado;Finalizado;OK;00000059.FIT;Transferencias 34.14;Ana;No son visibles en 3270 (si en HD). 00000059.FIT
EARTHPORT;IMP_0015_116;03/02/2014;01/01/2010;BEC;H2H;10000000060;Integrado;Finalizado;OK;00000019.FIT;Transferencias 34.14;Ana;00000019.FIT
EARTHPORT;IMP_0015_116;03/02/2014;01/01/2010;BEC;H2H;10000000060;Integrado;Finalizado;OK;00000020.FIT;Transferencias 34.14;Ana;00000020.FIT
EARTHPORT;IMP_0015_116;03/02/2014;01/01/2010;BEC;H2H;10000000060;Integrado;Finalizado;OK;00000021.FIT;Transferencias 34.14;Ana;00000021.FIT
EARTHPORT;IMP_0015_116;08/08/2014;01/01/2010;BEC;H2H;10000000060;Integrado;Finalizado;OK;00000128.FIT;Transferencias 34.14;Ana;00000128.FIT
EARTHPORT;IMP_0015_116;08/08/2014;01/01/2010;BEC;H2H;10000000060;Integrado;Finalizado;OK;00000129.FIT;Transferencias 34.14;Ana;00000129.FIT
EARTHPORT;IMP_0015_119;05/01/2014;01/01/2010;BEC;H2H;BBVAESMMREL;Producción;Finalizado;OK;;MT940;Ana;
EARTHPORT;IMP_0015_120;05/01/2014;01/01/2010;BEC;H2H;BBVAESMMREL;Producción;Finalizado;OK;;MT942;Ana;
ENDESA;IMP_0013_458;11/02/2014;01/01/2010;CIB;Swift Fileact;10000000019;Producción;Cancelado;;;Adeudos directos 19.14 (Sepa);Ángel;Sin confoirmar fecha, Id acreedor ES19000A28023430
ENDESA;IMP_0013_458;19/02/2014;01/01/2010;CIB;Swift Fileact;10000000019;Producción;Finalizado;OK;11001604.CSP;Adeudos directos 19.14 (Sepa);Ángel;11001604.CSP (fecha de ejecución: 28/02/2014)
ENDESA;IMP_0013_458;26/02/2014;01/01/2010;CIB;Swift Fileact;10000000019;Integrado;Finalizado;KO;11000668.CSP;Adeudos directos 19.14 (Sepa);Ángel;11000668.CSP (id de acreedor incorrecto)
ENDESA;IMP_0013_458;29/01/2014;01/01/2010;CIB;Swift Fileact;10000000019;Producción;Finalizado;KO;11001489.CSP;Adeudos directos 19.14 (Sepa);Ángel;11001489.CSP (fecha de ejecución 31/01/2014). Sin contrato de adeudos.
ENDESA;IMP_0013_458;03/02/2014;01/01/2010;CIB;Swift Fileact;10000000019;Integrado;Finalizado;KO;;Adeudos directos 19.14 (Sepa);Ángel;Ha llegado con ID de acreedor de producción, se solicita a GCS que lo cambia para que no se rechace por Adeudos.
ENDESA;IMP_0013_458;04/02/2014;01/01/2010;CIB;Swift Fileact;10000000019;Integrado;Finalizado;OK;11000652.CSP;Adeudos directos 19.14 (Sepa);Ángel;11000652.CSP (1 adeudo supera el límite permitido)
EUROPCAR;IMP_0016_126;27/03/2014;01/01/2010;BEC;Swift Fileact;10000000053;Integrado;Finalizado;KO;00000022.CSP;Adeudos directos 19.14 (Sepa);Ángel;00000022.CSP (Fecha ejecución: 01/04/2014. Se ha rechazado el adeudo ya que es un FRST y está fuera de plazo)
EUROPCAR;IMP_0016_126;27/03/2014;01/01/2010;BEC;Swift Fileact;10000000053;Integrado;Finalizado;OK;00000023.CSP;Adeudos directos 19.14 (Sepa);Ángel;00000023.CSP (Fecha ejecución: 01/04/2014)
EUROPCAR;IMP_0016_126;06/05/2014;01/01/2010;BEC;Swift Fileact;10000000127;Producción;Finalizado;OK;00000002.CSP;Adeudos directos 19.14 (Sepa);Ángel;00000002.CSP (fecha de ejecución 10/05/2014)
EUROPCAR;IMP_0016_126;06/05/2014;01/01/2010;BEC;Swift Fileact;10000000127;Producción;Finalizado;OK;00000004.CSP;Adeudos directos 19.14 (Sepa);Ángel;00000004.CSP (fecha de ejecución 25/05/2014)
EUROPCAR;IMP_0016_126;06/05/2014;01/01/2010;BEC;Swift Fileact;10000000127;Producción;Finalizado;OK;00000005.CSP;Adeudos directos 19.14 (Sepa);Ángel;00000005.CSP (fecha de ejecución 25/05/2014)
